Last Name,First Name,Middle Name,Drivers License,Latitude,Longitude,DateTime
Combs,Arthur,Albert,C120015039414,39.2850251,-76.6689467,1462542061000
Combs,Arthur,Albert,C120015039414,39.285145509912375,-76.66895063826897,1462542062000
Combs,Arthur,Albert,C120015039414,39.285265919824745,-76.66895457653791,1462542063000
Combs,Arthur,Albert,C120015039414,39.28538632973712,-76.66895851480687,1462542064000
Combs,Arthur,Albert,C120015039414,39.2855067396495,-76.66896245307584,1462542065000
Combs,Arthur,Albert,C120015039414,39.285627149561876,-76.66896639134478,1462542066000
Combs,Arthur,Albert,C120015039414,39.285747559474245,-76.66897032961374,1462542067000
Combs,Arthur,Albert,C120015039414,39.28586796938662,-76.6689742678827,1462542068000
Combs,Arthur,Albert,C120015039414,39.285932699535735,-76.66891804751062,1462542069000
Combs,Arthur,Albert,C120015039414,39.28593807039426,-76.66879769298914,1462542070000
Combs,Arthur,Albert,C120015039414,39.285943441252776,-76.66867733846766,1462542071000
Combs,Arthur,Albert,C120015039414,39.28594741396679,-76.66855693708138,1462542072000
Combs,Arthur,Albert,C120015039414,39.285950114505546,-76.66843649305267,1462542073000
Combs,Arthur,Albert,C120015039414,39.285952815044304,-76.66831604902396,1462542074000
Combs,Arthur,Albert,C120015039414,39.28595551558306,-76.66819560499526,1462542075000
Combs,Arthur,Albert,C120015039414,39.28595883452879,-76.66807517676804,1462542076000
Combs,Arthur,Albert,C120015039414,39.28596228865066,-76.66795475199483,1462542077000
Combs,Arthur,Albert,C120015039414,39.28596574277253,-76.66783432722161,1462542078000
Combs,Arthur,Albert,C120015039414,39.28597419440913,-76.6677141697874,1462542079000
Combs,Arthur,Albert,C120015039414,39.285988266219036,-76.66759463529668,1462542080000
Combs,Arthur,Albert,C120015039414,39.28601036360093,-76.6674762048839,1462542081000
Combs,Arthur,Albert,C120015039414,39.28603725882549,-76.667358795358,1462542082000
Combs,Arthur,Albert,C120015039414,39.28607266968152,-76.66724366060363,1462542083000
Combs,Arthur,Albert,C120015039414,39.28611510574958,-76.66713096172053,1462542084000
Combs,Arthur,Albert,C120015039414,39.28616680123188,-76.66702221766067,1462542085000
Combs,Arthur,Albert,C120015039414,39.28622392765209,-76.66691614867806,1462542086000
Combs,Arthur,Albert,C120015039414,39.286281054072305,-76.66681007969542,1462542087000
Combs,Arthur,Albert,C120015039414,39.286338180492514,-76.6667040107128,1462542088000
Combs,Arthur,Albert,C120015039414,39.28639530691273,-76.66659794173019,1462542089000
Combs,Arthur,Albert,C120015039414,39.28645243333294,-76.66649187274757,1462542090000
Combs,Arthur,Albert,C120015039414,39.28650955975315,-76.66638580376495,1462542091000
Combs,Arthur,Albert,C120015039414,39.286566686173366,-76.66627973478232,1462542092000
Combs,Arthur,Albert,C120015039414,39.286623812593575,-76.6661736657997,1462542093000
Combs,Arthur,Albert,C120015039414,39.28668093901379,-76.66606759681709,1462542094000
Combs,Arthur,Albert,C120015039414,39.286738065434,-76.66596152783447,1462542095000
Combs,Arthur,Albert,C120015039414,39.28679519185422,-76.66585545885184,1462542096000
Combs,Arthur,Albert,C120015039414,39.28685231827443,-76.66574938986922,1462542097000
Combs,Arthur,Albert,C120015039414,39.28690944469464,-76.6656433208866,1462542098000
Combs,Arthur,Albert,C120015039414,39.28696657111485,-76.66553725190398,1462542099000
Combs,Arthur,Albert,C120015039414,39.28702369753507,-76.66543118292137,1462542100000
Combs,Arthur,Albert,C120015039414,39.28708082395528,-76.66532511393874,1462542101000
Combs,Arthur,Albert,C120015039414,39.28713948688232,-76.66521990624253,1462542102000
Combs,Arthur,Albert,C120015039414,39.28719873048445,-76.66511501290321,1462542103000
Combs,Arthur,Albert,C120015039414,39.28725710483852,-76.66500962556846,1462542104000
Combs,Arthur,Albert,C120015039414,39.28731424375888,-76.66490357918535,1462542105000
Combs,Arthur,Albert,C120015039414,39.28736749503023,-76.66479551272867,1462542106000
Combs,Arthur,Albert,C120015039414,39.28742460892676,-76.66468945030094,1462542107000
Combs,Arthur,Albert,C120015039414,39.28748229830201,-76.66458368644632,1462542108000
Combs,Arthur,Albert,C120015039414,39.28753636462938,-76.66447602810061,1462542109000
Combs,Arthur,Albert,C120015039414,39.287590307453804,-76.66436830517522,1462542110000
Combs,Arthur,Albert,C120015039414,39.28764425027822,-76.66426058224982,1462542111000
